,Keds: Style Gallery Banners
,Expandable
,USER IMG,USERNAME,SHOE IMG,SHOE NAME,SHOE PRICE,SHOW LINK
1,http://static.kedscollective.com/chictopia/66.b.4b44f25ed88fd.jpg,fifthofjuly,http://www.keds.com/images/us/local/products/detail/WF24700.JPG,Champion Black/Black Canvas,35,http://www.keds.com/coupon.jsp?code=09_10_15+STYLE+GALLERY+PAGE&URL=%2Fshopping%2Fproduct%2Fdetailmain.jsp%3FitemID%3D1563%26itemType%3DPRODUCT%26iMainCat%3D289%26iSubCat%3D294%26iProductID%3D1563
2,http://static.kedscollective.com/chictopia/57.b.4b44ef6d88beb.jpg,ladytraveler,http://www.keds.com/images/us/local/products/detail/WF34000.JPG,Champion White Canvas,35,http://www.keds.com/coupon.jsp?code=09_10_15+STYLE+GALLERY+PAGE&URL=%2Fjump.jsp%3FitemID%3D591%26itemType%3DPRODUCT
3,http://static.kedscollective.com/chictopia/59.b.4b44ef160d750.jpg,memoriesineyes,http://www.keds.com/images/us/local/products/detail/WF31300.JPG,Champion Red Canvas,35,http://www.keds.com/coupon.jsp?code=09_10_15+STYLE+GALLERY+PAGE&URL=%2Fshopping%2Fproduct%2Fdetailmain.jsp%3FitemID%3D1559%26itemType%3DPRODUCT%26iMainCat%3D289%26iSubCat%3D294%26iProductID%3D1559
4,http://static.kedscollective.com/chictopia/63.b.4b44f11938c1f.jpg,karenstarr,http://www.keds.com/images/us/local/products/detail/WF34000.JPG,Champion White Canvas,35,http://www.keds.com/coupon.jsp?code=09_10_15+STYLE+GALLERY+PAGE&URL=%2Fjump.jsp%3FitemID%3D591%26itemType%3DPRODUCT
5,http://static.kedscollective.com/chictopia/64.b.4b44f188c9dd6.jpg,noweyh,http://www.keds.com/images/us/local/products/detail/WF31300.JPG,Champion Red Canvas,35,http://www.keds.com/coupon.jsp?code=09_10_15+STYLE+GALLERY+PAGE&URL=%2Fshopping%2Fproduct%2Fdetailmain.jsp%3FitemID%3D1559%26itemType%3DPRODUCT%26iMainCat%3D289%26iSubCat%3D294%26iProductID%3D1559
6,http://static.kedscollective.com/chictopia/65.b.4b44f1adee83b.jpg,cfraisrudy,http://www.keds.com/images/us/local/products/detail/MF22597.JPG,Men's Champion White Canvas,50,http://www.keds.com/coupon.jsp?code=09_10_15+STYLE+GALLERY+PAGE&URL=%2Fshopping%2Fproduct%2Fdetailmain.jsp%3FitemID%3D1521%26itemType%3DPRODUCT%26iMainCat%3D220%26iSubCat%3D221%26iProductID%3D1521
7,http://static.kedscollective.com/chictopia/49.b.4ac9e5cdba173.jpg,phancypants,http://www.keds.com/images/us/local/products/detail/WF27116.JPG,Champion Bright Blue Canvas,35,http://www.keds.com/coupon.jsp?code=09_10_15+STYLE+GALLERY+PAGE&URL=%2Fshopping%2Fproduct%2Fdetailmain.jsp%3FitemID%3D1575%26itemType%3DPRODUCT%26iMainCat%3D289%26iSubCat%3D294%26iProductID%3D1575
8,http://static.kedscollective.com/chictopia/58.b.4b44ef90288bf.jpg,inAdriensLocker,http://www.keds.com/images/us/local/products/detail/WF34000.JPG,Champion White Canvas,35,http://www.keds.com/coupon.jsp?code=09_10_15+STYLE+GALLERY+PAGE&URL=%2Fjump.jsp%3FitemID%3D591%26itemType%3DPRODUCT
9,http://static.kedscollective.com/chictopia/61.b.4b44f05275780.jpg,BUI,http://www.keds.com/images/us/local/products/detail/WF31300.JPG,Champion Red Canvas,35,http://www.keds.com/coupon.jsp?code=09_10_15+STYLE+GALLERY+PAGE&URL=%2Fshopping%2Fproduct%2Fdetailmain.jsp%3FitemID%3D1559%26itemType%3DPRODUCT%26iMainCat%3D289%26iSubCat%3D294%26iProductID%3D1559
10,http://static.kedscollective.com/chictopia/43.b.4abbe77e2a887.jpg,threefeathers,http://www.keds.com/images/us/local/products/detail/WF34100.JPG,Champion Black Canvas,35,http://www.keds.com/coupon.jsp?code=09_10_15+STYLE+GALLERY+PAGE&URL=%2Fshopping%2Fproduct%2Fdetailmain.jsp%3FitemID%3D1560%26itemType%3DPRODUCT%26iMainCat%3D289%26iSubCat%3D294%26iProductID%3D1560
11,http://static.kedscollective.com/chictopia/46.b.4abbe786372df.jpg,Verysilllysofia,http://www.keds.com/images/us/local/products/detail/WF27285.JPG,Champion Brown Canvas,35,http://www.keds.com/coupon.jsp?code=09_10_15+STYLE+GALLERY+PAGE&URL=%2Fshopping%2Fproduct%2Fdetailmain.jsp%3FitemID%3D1558%26itemType%3DPRODUCT%26RS%3D1%26keyword%3Dbrown%2Bchampion%26sColor%3D
12,http://static.kedscollective.com/chictopia/26.b.4abbe727df04c.jpg,MaleUgly,http://www.keds.com/images/us/local/products/detail/MF22915.JPG,Men's Champion Black Canvas,50,http://www.keds.com/coupon.jsp?code=09_10_15+STYLE+GALLERY+PAGE&URL=%2Fshopping%2Fproduct%2Fdetailmain.jsp%3FitemID%3D1520%26itemType%3DPRODUCT%26iMainCat%3D220%26iSubCat%3D221%26iProductID%3D1520
13,http://static.kedscollective.com/chictopia/55.b.4b44ee5361a9c.jpg,camilleishy,http://www.keds.com/images/us/local/products/detail/WF31300.JPG,Champion Red Canvas,35,http://www.keds.com/coupon.jsp?code=09_10_15+STYLE+GALLERY+PAGE&URL=%2Fshopping%2Fproduct%2Fdetailmain.jsp%3FitemID%3D1559%26itemType%3DPRODUCT%26iMainCat%3D289%26iSubCat%3D294%26iProductID%3D1559
14,http://static.kedscollective.com/chictopia/15.b.4abbe704c2648.jpg,fifthofjuly,http://www.keds.com/images/us/local/products/detail/WF24700.JPG,Champion Black/Black Canvas,35,http://www.keds.com/coupon.jsp?code=09_10_15+STYLE+GALLERY+PAGE&URL=%2Fshopping%2Fproduct%2Fdetailmain.jsp%3FitemID%3D1563%26itemType%3DPRODUCT%26iMainCat%3D289%26iSubCat%3D294%26iProductID%3D1563
15,http://static.kedscollective.com/chictopia/56.b.4b44ee7a95f76.jpg,Wandiola101,http://www.keds.com/images/us/local/products/detail/WF31300.JPG,Champion Red Canvas,35,http://www.keds.com/coupon.jsp?code=09_10_15+STYLE+GALLERY+PAGE&URL=%2Fshopping%2Fproduct%2Fdetailmain.jsp%3FitemID%3D1559%26itemType%3DPRODUCT%26iMainCat%3D289%26iSubCat%3D294%26iProductID%3D1559
16,http://static.kedscollective.com/chictopia/16.b.4abbe708474ff.jpg,fist,http://www.keds.com/images/us/local/products/detail/WF34200.JPG,Champion Navy Canvas,35,http://www.keds.com/coupon.jsp?code=09_10_15+STYLE+GALLERY+PAGE&URL=%2Fshopping%2Fproduct%2Fdetailmain.jsp%3FitemID%3D1561%26itemType%3DPRODUCT%26iMainCat%3D289%26iSubCat%3D294%26iProductID%3D1561
